,id,subjectivity,sentiment_magnitude,anger,disgust,fear,joy,neutral,sadness,surprise,sentence,sentiment_intensity,article_id,sentence_count
0,1,0.7327758073806763,0.4000000059604645,0.18513524532318115,0.7630799412727356,0.023253580555319786,0.0015122238546609879,0.008433042094111443,0.01658758334815502,0.001998304622247815,"A Nigerian native accused of murdering 23-year-old University of Utah student Mackenzie Lueck first arrived in the United States on a student visa, Breitbart News has learned.
",-0.4000000059604645,0,15
1,2,0.4197268486022949,0.6000000238418579,0.7901526093482971,0.06397712975740433,0.02525191195309162,0.0016602714313194156,0.02051728218793869,0.0959678441286087,0.0024730151053518057,"Nigerian native Ayoola Adisa Ajayi, 31-years-old, was charged this week with allegedly murdering Mackenzie Lueck in Salt Lake City, Utah, on June 17 after she had just returned from California where she attended her grandmother’s funeral.",-0.6000000238418579,0,15
2,3,0.2688060402870178,0.6000000238418579,0.7318155169487,0.0761227160692215,0.054332975298166275,0.0013076470931991935,0.058623164892196655,0.06895792484283447,0.008839964866638184,"Police said Ajayi and Lueck had been texting the day before Lueck went missing and neighbors reported that Ajayi had created a burn pile in his backyard on June 17 and June 18.
",-0.6000000238418579,0,15
3,4,0.18332888185977936,0.10000000149011612,0.015486159361898899,0.9134879112243652,0.024310359731316566,0.0010033738799393177,0.029323166236281395,0.009531007148325443,0.006858088541775942,"When investigators searched Ajayi’s home and conducted an excavation in his backyard, they found human tissue from Lueck and multiple personal items from Lueck.",0.10000000149011612,0,15
4,5,0.5506185293197632,0.699999988079071,0.421125203371048,0.47182410955429077,0.00959852710366249,0.0018329444574192166,0.04906320571899414,0.045349568128585815,0.0012064288603141904,"Ajayi has now been charged with aggravated murder, aggravated kidnapping, and desecration of a body.
",-0.699999988079071,0,15
5,6,0.33157774806022644,0.0,0.016075262799859047,0.0052995639853179455,0.11241960525512695,0.05962454900145531,0.7480115294456482,0.009418841451406479,0.04915062338113785,"A law enforcement official confirmed to Breitbart News that Ajayi first entered the U.S. from Nigeria on July 16, 2009, on a student visa, known by federal immigration officials as an F-1 visa.",0.0,0,15
6,7,0.44329482316970825,0.6000000238418579,0.020315315574407578,0.05412808060646057,0.009981155395507812,0.0055014099925756454,0.33685657382011414,0.5542715787887573,0.018945982679724693,"University officials have told the media that Ajayi, though attending the University of Utah between 2009 and 2017, never got a degree.
",-0.6000000238418579,0,15
7,8,0.5378261804580688,0.0,0.04565241560339928,0.013962427154183388,0.021551428362727165,0.43049103021621704,0.46605604887008667,0.012226860038936138,0.01005985215306282,"After remaining in the country on the F-1 visa, Ajayi adjusted his status to become a “lawful permanent resident,” otherwise known as a green card holder, in 2014 after marrying an American citizen.
",0.0,0,15
8,9,0.48916974663734436,0.30000001192092896,0.021620262414216995,0.004550138954073191,0.022124947980046272,0.19242611527442932,0.7112333178520203,0.012317603453993797,0.0357276014983654,"Sometime after adjusting his immigration status, Ajayi applied to become a naturalized U.S. citizen by claiming he served in the American military between September 30, 2015, and August 20, 2015.",-0.30000001192092896,0,15
9,10,0.41981935501098633,0.800000011920929,0.12387130409479141,0.24465292692184448,0.01862834393978119,0.0023779033217579126,0.40090057253837585,0.20064249634742737,0.008926479145884514,"However, records show Ajayi never submitted any evidence to support his claim of military service.
",-0.800000011920929,0,15
10,11,0.6016823649406433,0.6000000238418579,0.05590266361832619,0.22606998682022095,0.05506539344787598,0.00573243573307991,0.29406580328941345,0.3587420880794525,0.0044215768575668335,"The Salt Lake Tribune reported that Ajayi has no previous criminal history although police did investigate a rape accusation against him in 2014 but did not continue the investigation after the alleged victim told police she did not want to press charges.
",-0.6000000238418579,0,15
11,12,0.9063523411750793,0.20000000298023224,0.007640483323484659,0.0381598062813282,0.0082528842613101,0.021358788013458252,0.09229063987731934,0.8168076276779175,0.01548977755010128,Ajayi was only married to his ex-wife between 2011 and 2017 before the two separated and eventually divorced.,-0.20000000298023224,0,15
12,13,0.10352782160043716,0.5,0.18808020651340485,0.05713975802063942,0.006561107002198696,0.012924380600452423,0.2733040452003479,0.4517548680305481,0.010235635563731194,"It was that marriage to his wife that allowed Ajayi to become a green card holder in the U.S.
A judge has ordered that Ajayi be held without bail.
",-0.5,0,15
13,14,0.004843455273658037,0.0,0.01935511641204357,0.01578359864652157,0.012520387768745422,0.0032823458313941956,0.9308546781539917,0.011472084559500217,0.0067319367080926895,John Binder is a reporter for Breitbart Texas.,0.0,0,15
14,15,0.47493112087249756,0.0,0.009848584420979023,0.0019198983209207654,0.006443493999540806,0.004881755448877811,0.9383650422096252,0.015549381263554096,0.022991830483078957,Follow him on Twitter at @JxhnBinder.,0.0,0,15
15,16,0.3210766613483429,0.4000000059604645,0.03874985873699188,0.024485191330313683,0.12917162477970123,0.006336511112749577,0.7689495086669922,0.008546579629182816,0.023760683834552765,"New gun controls taking effect July 1, 2019, will require citizens of California to pass a background check every time they buy a box of ammunition.
",-0.4000000059604645,1,13
16,17,0.8013870120048523,0.4000000059604645,0.01061946526169777,0.016553567722439766,0.02733609452843666,0.005506065674126148,0.9175617098808289,0.012724766507744789,0.009698363952338696,"Moreover, the new controls will require the ammunition purchaser to pay a $1 fee when he or she undergoes a background check.
",-0.4000000059604645,1,13
17,18,0.2289699912071228,0.10000000149011612,0.011680996045470238,0.007091321516782045,0.008027361705899239,0.11462831497192383,0.5104663372039795,0.008442291989922523,0.33966338634490967,USA Today reports that California gun stores witnessed a substantial increase in ammunition sales in the weeks leading up to July 1.,-0.10000000149011612,1,13
