,id,subjectivity,sentiment_magnitude,anger,disgust,fear,joy,neutral,sadness,surprise,sentence,sentiment_intensity,article_id,sentence_count
0,1,0.49462029337882996,0.5,0.059156112372875214,0.07958435267210007,0.8042910695075989,0.0014430584851652384,0.011227244511246681,0.005668683908879757,0.03862946480512619,"A powerful explosion has rocked the Afghan capital, rattling windows and sending smoke billowing from Kabul's downtown area near the U.S. Embassy.
",0.5,0,6
1,2,0.24645347893238068,0.4000000059604645,0.04130329564213753,0.019876515492796898,0.8447725176811218,0.0020723885390907526,0.012691784650087357,0.003606327809393406,0.0756770446896553,The explosion early Monday occurred as the streets in the capital were packed with morning commuters.,-0.4000000059604645,0,6
2,3,0.29124554991722107,0.20000000298023224,0.024457337334752083,0.10267804563045502,0.264921635389328,0.006078009027987719,0.11139555275440216,0.4792328178882599,0.011236580088734627,"Officials and police were at the scene of the blast and few details were available, including casualties.
",-0.20000000298023224,0,6
3,4,0.389586865901947,0.5,0.10709472000598907,0.08103443682193756,0.2060442864894867,0.005483576096594334,0.5123067498207092,0.02089722827076912,0.06713898479938507,"Kabul's chief police spokesman, Firdous Faramaz, could only confirm the explosion, but was unclear on the target or the type of explosive device.
",-0.5,0,6
4,5,0.06776382029056549,0.10000000149011612,0.2306230217218399,0.2134249061346054,0.21279141306877136,0.0057967775501310825,0.26041334867477417,0.06724444031715393,0.009706071577966213,Both the Taliban and the Islamic State operate in Kabul.,-0.10000000149011612,0,6
5,6,0.2060323804616928,0.5,0.19956336915493011,0.06134352460503578,0.6492481231689453,0.0033824765123426914,0.04068582132458687,0.027949998155236244,0.017826702445745468,"The attack comes as the Taliban and the United States hold talks in the Middle Eastern state of Qatar, where the militant group maintains a political office.",-0.5,0,6
6,7,0.7235721945762634,0.0,0.9184197187423706,0.04291034862399101,0.0037111984565854073,0.0008064696448855102,0.01970047317445278,0.01048690639436245,0.003964872565120459,"Sarah Sanders, the former White House press secretary, fired back at freshman Rep. Alexandria Ocasio-Cortez who called out Ivanka Trump for accompanying her father to the G-20 summit.
",0.0,1,10
7,8,0.19545713067054749,0.699999988079071,0.13156680762767792,0.18037746846675873,0.030465953052043915,0.0011936519294977188,0.5930852293968201,0.0276823490858078,0.03562849014997482,"Ocasio-Cortez called out Ivanka and said on Twitter that “being someone’s daughter actually isn’t a career qualification.”
",-0.699999988079071,1,10
8,9,0.8070674538612366,0.8999999761581421,0.2894291579723358,0.0565025620162487,0.013261259533464909,0.0022969869896769524,0.04434749856591225,0.5904168486595154,0.003745752153918147,“It hurts our diplomatic standing when the President phones it in & the world moves on.,-0.8999999761581421,1,10
9,10,0.795407235622406,0.6000000238418579,0.01196957752108574,0.02665690891444683,0.0035464295651763678,0.004131274297833443,0.8990930914878845,0.041783325374126434,0.012819280847907066,The US needs our President working the G20.,-0.6000000238418579,1,10
10,11,0.37262076139450073,0.0,0.0075865238904953,0.021223017945885658,0.01572917215526104,0.009048789739608765,0.9186533689498901,0.023617781698703766,0.004141346551477909,"Bringing a qualified diplomat couldn’t hurt either,” the freshman representative continued.
",0.0,1,10
11,12,0.13846167922019958,0.0,0.011179200373589993,0.01665833406150341,0.015770094469189644,0.06985418498516083,0.8381602764129639,0.012385516427457333,0.03599245101213455,"Ivanka represented the U.S. in meetings with leaders from China, Japan, Russia, India and Australia during the summit in Osaka, the South China Morning Post reported.
",0.0,1,10
12,13,0.3199402987957001,0.800000011920929,0.5154159665107727,0.003748373594135046,0.18273799121379852,0.0038110946770757437,0.03270173445343971,0.24562175571918488,0.01596318557858467,"Sanders, who just recently stepped down from her role at the White House, said “phone it in @AOC is wasting your time on Twitter while destroying jobs in NY.”",-0.800000011920929,1,10
13,14,0.6341791152954102,0.5,0.023499824106693268,0.004893086384981871,0.009198620915412903,0.07504119724035263,0.8531598448753357,0.01443466730415821,0.019772762432694435,"She said President Trump and Ivanka have created “millions of new jobs and continue to make the US stronger on the global stage but thank you for reminding Americans everyday why they elected Trump.”
GET THE FOX NEWS APP
Ocasio-Cortez played a major role in thwarting Amazon’s plans to build part of its HQ2 in Long Island City.",0.20000000298023224,1,10
14,15,0.5157910585403442,0.5,0.3044264018535614,0.11641326546669006,0.011153819970786572,0.0020539932884275913,0.5386954545974731,0.015746602788567543,0.011510503478348255,"She was one of several elected officials who pushed back on Amazon's planned expansion pointing at the secrecy of the deal itself, the lack of public input and the potential for gentrification and displacement resulting from 25,000 new highly paid tech workers in the area.
",-0.5,1,10
15,16,0.028368093073368073,0.0,0.00486161420121789,0.003284516977146268,0.0026443367823958397,0.008902930654585361,0.9408429265022278,0.01984015293419361,0.019623631611466408,Fox News' Christopher Carbone contributed to this report,0.0,1,10
16,17,0.6718493103981018,0.5,0.045049503445625305,0.01915070042014122,0.7744320631027222,0.00920555368065834,0.06768778711557388,0.0026182974688708782,0.08185607939958572,"An “unidentified object” detected flying near South Korea’s border with North Korea -- sparking a media frenzy and prompting the south to scramble fighter jets Monday -- turned out to be a flock of birds.
",-0.5,2,17
17,18,0.39675548672676086,0.4000000059604645,0.02954012341797352,0.028925828635692596,0.7984777688980103,0.00975897628813982,0.10110997408628464,0.008209086023271084,0.02397822216153145,"South Korea’s military announced earlier in the morning that its radar had found “the traces of flight by an unidentified object” over the central part of the Demilitarized Zone, the de facto border between the two Koreas.",-0.4000000059604645,2,17
18,19,0.8776103854179382,0.0,0.013061173260211945,0.008427432738244534,0.07577062398195267,0.3123403489589691,0.32675570249557495,0.019454970955848694,0.24418975412845612,"The announcement came a day after President Trump’s historic trip to the DMZ and into North Korea with leader Kim Jong Un.
",0.0,2,17
19,20,0.34474295377731323,0.20000000298023224,0.01845143549144268,0.01241051871329546,0.13766300678253174,0.007739325053989887,0.769035816192627,0.008551076985895634,0.04614883288741112,"TRUMP MEETS KIM IN DMZ, BECOMES FIRST SITTING U.S. PRESIDENT TO STEP INTO NORTH KOREA
Officials initially speculated the object may have been a North Korean helicopter flying across the border into South Korea.",-0.20000000298023224,2,17
20,21,0.47870978713035583,0.5,0.013634300790727139,0.03993334621191025,0.016242899000644684,0.009281633421778679,0.8101540207862854,0.006017590872943401,0.10473624616861343,"However, pilots of the several fighter jets deployed to the area later reported the “unidentified object” was actually a group of ""objects"" -- about 20 birds, a South Korean military official told the Associated Press.
",-0.5,2,17
21,22,0.5104957222938538,0.0,0.1091315895318985,0.026102479547262192,0.14011842012405396,0.006252550520002842,0.6322746872901917,0.07690770924091339,0.00921259168535471,"South Korea alerted the North to the launch of its fighter jets to avoid unnecessary tensions, the official said.
",0.0,2,17
22,23,0.6076846718788147,0.10000000149011612,0.1755547970533371,0.09669388830661774,0.1388273686170578,0.0041276924312114716,0.5350520014762878,0.022455500438809395,0.027288665995001793,"The DMZ, which was created after fighting ended in the 1950-53 Korean War, is peppered with an estimated two million mines and guarded by combat troops, razor wire fences, anti-tank traps and guard posts on both sides.",-0.10000000149011612,2,17
23,24,0.22023527324199677,0.0,0.032404471188783646,0.17463204264640808,0.004385887645184994,0.31905803084373474,0.42428722977638245,0.03917192295193672,0.006060432177037001,"While the two Koreas have occasionally traded exchanges of gunfire there, the animosities have eased since the North entered talks on its nuclear program.
",0.0,2,17
24,25,0.013395571149885654,0.0,0.501737654209137,0.1971457600593567,0.010773662477731705,0.01097134966403246,0.21925801038742065,0.019183779135346413,0.04092981293797493,TUCKER CARLSON:,0.0,2,17
25,26,0.8994472026824951,0.10000000149011612,0.023912474513053894,0.04005323722958565,0.10205329954624176,0.6174823641777039,0.11725916713476181,0.01594655215740204,0.08329285681247711,"TRUMP DOMINATED MEETING WITH KIM JONG UN
Trump’s meeting with Kim on Sunday – their third face-to-face since the American leader took office – took place at the border village of Panmunjom, located inside the DMZ.",0.10000000149011612,2,17
26,27,0.44033172726631165,0.4000000059604645,0.008810745552182198,0.0027215953450649977,0.01003776490688324,0.01929168775677681,0.019893666729331017,0.002581867389380932,0.9366627335548401,"In a surprise move, Trump stepped across the military demarcation line into North Korea – taking about 10 steps with Kim before turning back and sitting down for a meeting.
",0.4000000059604645,2,17
27,28,0.2043006867170334,0.10000000149011612,0.023403840139508247,0.07875584810972214,0.291579008102417,0.10414423793554306,0.39029768109321594,0.013824987225234509,0.09799434244632721,It marked the first time a sitting U.S. president has set foot in North Korea.,-0.10000000149011612,2,17
28,29,0.9600327610969543,0.0,0.08137509971857071,0.04683365672826767,0.00787381548434496,0.6193079352378845,0.13586650788784027,0.10231617093086243,0.006426844280213118,"After the meeting, Trump said Kim had agreed to revive talks amid an impasse in nuclear negations between Washington and Pyongyang.
",0.0,2,17
29,30,0.3196490705013275,0.5,0.0054552797228097916,0.0039911940693855286,0.0017907763831317425,0.8187782764434814,0.07310577481985092,0.0019093345617875457,0.09496920555830002,"North Korea's state media described Kim's meeting with Trump as ""an amazing event"" and reported both leaders expressed great satisfaction over the result of their talks.
",0.5,2,17
30,31,0.24994127452373505,0.0,0.0042324671521782875,0.0021367394365370274,0.003970730118453503,0.09958403557538986,0.8694263696670532,0.002703452482819557,0.01794617436826229,"CLICK HERE TO GET THE FOX NEWS APP
The latest Trump-Kim meeting may have created momentum for further diplomacy, including working-level talks aimed at hammering out the terms of a mutually acceptable deal.",0.0,2,17
31,32,0.6684761047363281,0.4000000059604645,0.027223672717809677,0.023354459553956985,0.062265053391456604,0.005041675176471472,0.8362625241279602,0.024481521919369698,0.021371131762862206,"But experts say it remains unclear whether the negotiations would successfully address the fundamental differences between Washington and Pyongyang that were exposed in a previous summit in Hanoi in February.
",-0.4000000059604645,2,17
32,33,0.02178909257054329,0.10000000149011612,0.013162932358682156,0.023605220019817352,0.003484895918518305,0.015175835229456425,0.8963142037391663,0.04135805368423462,0.006898866966366768,The Associated Press contributed to this report.,-0.10000000149011612,2,17
33,34,0.37308236956596375,0.10000000149011612,0.037604786455631256,0.08809646219015121,0.40907013416290283,0.11586615443229675,0.29668310284614563,0.0215601809322834,0.031119240447878838,"On this day, July 1 …
1991: President George H.W. Bush nominates federal appeals court judge Clarence Thomas to the Supreme Court, beginning an ultimately successful confirmation process marked by allegations of sexual harassment.
",0.0,3,21
34,35,0.029277822002768517,0.0,0.009758122265338898,0.005762494634836912,0.004992729518562555,0.013964110985398293,0.7866844534873962,0.026996253058314323,0.15184178948402405,"Also on this day:
1863:",0.0,3,21
35,36,0.9380614757537842,0.10000000149011612,0.047306936234235764,0.018905268982052803,0.7548964619636536,0.020316453650593758,0.12957525253295898,0.015243038535118103,0.013756598345935345,"The pivotal, three-day Civil War Battle of Gettysburg begins in Pennsylvania.
",0.10000000149011612,3,21
36,37,0.9380614757537842,0.10000000149011612,0.05276106670498848,0.021519627422094345,0.7109838128089905,0.021917738020420074,0.16170081496238708,0.016419727355241776,0.014697187580168247,"The pivotal, three-day Civil War Battle of Gettysburg begins in Pennsylvania.",0.10000000149011612,3,21
37,38,0.1320599466562271,0.0,0.014592275023460388,0.004149227403104305,0.0062731909565627575,0.07722065597772598,0.6571921706199646,0.006937752477824688,0.23363471031188965,"1963: Five-digit zip codes are launched by the U.S. Postal Service.
",0.0,3,21
38,39,0.17626768350601196,0.10000000149011612,0.012516944669187069,0.0034936279989778996,0.00531582860276103,0.08211925625801086,0.7925417423248291,0.005901212338358164,0.09811142086982727,Five-digit zip codes are launched by the U.S. Postal Service.,-0.10000000149011612,3,21
39,40,0.00828474760055542,0.0,0.016876105219125748,0.016076819971203804,0.016212323680520058,0.03553301468491554,0.7534953355789185,0.02273298241198063,0.13907328248023987,1973:,0.0,3,21
40,41,0.09542709589004517,0.0,0.018531056120991707,0.009679415263235569,0.03936833143234253,0.008107984438538551,0.8934767246246338,0.01492749247699976,0.015909066423773766,"The Drug Enforcement Administration is established.
",0.0,3,21
41,42,0.09542709589004517,0.0,0.019359169527888298,0.00936958845704794,0.030971596017479897,0.009190602228045464,0.8992141485214233,0.014348483644425869,0.017546534538269043,The Drug Enforcement Administration is established.,0.0,3,21
42,43,0.008197471499443054,0.10000000149011612,0.027690785005688667,0.014358707703649998,0.015507583506405354,0.0402529202401638,0.6439169645309448,0.025879278779029846,0.2323938012123108,1979:,0.10000000149011612,3,21
43,44,0.10855463892221451,0.10000000149011612,0.007181929890066385,0.00601910799741745,0.008216646499931812,0.06810875982046127,0.7696743607521057,0.005975480657070875,0.134823739528656,"Sony introduces the Walkman, the first personal stereo tape player.
",0.10000000149011612,3,21
44,45,0.10855463892221451,0.10000000149011612,0.007390339858829975,0.0061635044403374195,0.007919454015791416,0.06555508077144623,0.7703852653503418,0.00617063045501709,0.13641569018363953,"Sony introduces the Walkman, the first personal stereo tape player.",0.10000000149011612,3,21
45,46,0.015217849984765053,0.0,0.011822144500911236,0.007659119553864002,0.005037780851125717,0.034276723861694336,0.788439154624939,0.020789699628949165,0.1319754272699356,2002:,0.0,3,21
