,id,subjectivity,sentiment_magnitude,anger,disgust,fear,joy,neutral,sadness,surprise,sentence,sentiment_intensity,article_id,sentence_count
0,1,0.8380184173583984,0.4000000059604645,0.005600804463028908,0.005460150074213743,0.005987033247947693,0.03592923656105995,0.8873012661933899,0.009271275252103806,0.05045032501220703,"News Corp is a network of leading companies in the worlds of diversified media, news, education, and information services",0.4000000059604645,0,1
1,2,0.5204652547836304,0.30000001192092896,0.029029808938503265,0.062047895044088364,0.11397473514080048,0.2984022796154022,0.4089907109737396,0.07065854221582413,0.016896134242415428,"German, French and Italian government bond yields rose after the strong U.S. jobs report in a sign of easing pressure on the European Central Bank to pursue interest rate cuts.
",0.30000001192092896,1,7
2,3,0.557975709438324,0.699999988079071,0.10488404333591461,0.047559138387441635,0.2613115608692169,0.2551998496055603,0.24257616698741913,0.04100051894783974,0.04746869578957558,"Bonds in across the region have seen prices rally sharply in recent days—and 10-year yields decline to record lows in Germany and France—as investors bet on a major loosening of monetary policy.
",-0.699999988079071,1,7
3,4,0.21059831976890564,0.20000000298023224,0.016383249312639236,0.019613362848758698,0.007074384950101376,0.00866465549916029,0.8322036862373352,0.047533102333545685,0.06852759420871735,"On Friday, German 10-year yields were up to minus 0.356% from minus 0.396%, while French 10-year yields were at minus 0.077% from minus 0.111%, according to FactSet.
",-0.20000000298023224,1,7
4,5,0.3694378137588501,0.5,0.04219107702374458,0.03919193893671036,0.06797488778829575,0.0022798182908445597,0.8190454840660095,0.019147641956806183,0.010169138200581074,"The ECB often has to react to U.S. rate cuts with looser policy of its own, partly in order to stop the euro from strengthening, which can reduce inflation.",-0.5,1,7
5,6,0.41251546144485474,0.4000000059604645,0.008654749020934105,0.011106408201158047,0.03543443977832794,0.005725502502173185,0.8985678553581238,0.015273764729499817,0.02523723803460598,"The ECB is a long way from hitting its target of inflation close to 2%.
",-0.4000000059604645,1,7
6,7,0.202053964138031,0.10000000149011612,0.0077242194674909115,0.007661898620426655,0.0449976846575737,0.18410713970661163,0.734498143196106,0.01291708555072546,0.00809387769550085,"Less trade uncertainty and the strong jobs report could both mean that U.S. rate cuts are fewer and smaller.
",0.10000000149011612,1,7
7,8,0.7738850116729736,0.30000001192092896,0.016882333904504776,0.01260108407586813,0.03061322681605816,0.024708949029445648,0.7848057150840759,0.03177902474999428,0.09860958904027939,"Italian 10-year yields, which have fallen to levels note seen in more than two years this week, rose Friday to 1.765%, which is still just about lower than when the populist coalition government was formed in May 2018.",-0.30000001192092896,1,7
8,9,0.2291765958070755,0.0,0.07773136347532272,0.03460865467786789,0.06315925717353821,0.005165531765669584,0.7701444029808044,0.029068265110254288,0.020122431218624115,"New York City will tighten rules for the purchase and refinancing of taxi medallions following a 45-day review ordered by Mayor Bill de Blasio.
",0.0,2,2
9,10,0.5529378056526184,0.6000000238418579,0.13871197402477264,0.1507585346698761,0.021754730492830276,0.004191049840301275,0.2834738790988922,0.36120733618736267,0.0399024523794651,"The review, conducted by several city agencies and released Monday, found that brokers who facilitate the purchase, sale and refinancing of medallions often fail to disclose interests in the transactions or to adequately explain terms to borrowers.
Taxi...",-0.30000001192092896,2,2
